message,language,urgency,category,translated_english
"ఒంటరిగా నడిచేటప్పుడు పురుషులు వ్యాఖ్యలు చేస్తున్నారు","Telugu","Low","Street Harassment","Men comment when I walk alone"
"రాత్రి ఒంటరిగా ప్రయాణించడం భయంగా ఉంది","Telugu","Low","Safety Concern","I feel scared to travel alone at night"
"నా ఫోటోలు అనుమతి లేకుండా షేర్ చేయబడ్డాయి","Telugu","High","Cybercrime","My photos were shared without permission"
"నా మాజీ ప్రేమికుడు నన్ను బ్లాక్‌మెయిల్ చేస్తున్నాడు","Telugu","Critical","Blackmail/Extortion","My ex-boyfriend is blackmailing me"
"అత్తింటి వారు మరింత కట్నం కోసం హింసిస్తున్నారు","Telugu","Critical","Dowry Harassment","In-laws are torturing for more dowry"
"నిన్న రాత్రి పార్టీలో నన్ను అసభ్యంగా తాకారు","Telugu","Critical","Sexual Assault","I was touched inappropriately at a party last night"
"என் கணவன் என்னை தினமும் அடிக்கிறான்","Tamil","Critical","Domestic Violence","My husband hits me every day"
"என் மீது பாலியல் வன்கொடுமை நடந்தது","Tamil","Critical","Sexual Assault","Sexual violence happened to me"
"என்னை கட்டாயமாக வேலைக்கு அனுப்புகிறார்கள்","Tamil","Medium","Forced Labor","They are forcing me to work"
"मुझे घर से निकाल दिया गया है","Hindi","High","Domestic Violence","I have been thrown out of the house"
"मेरे साथ बलात्कार हुआ है","Hindi","Critical","Sexual Assault","I have been raped"
"शादी के बाद से मुझे घर में बंद रखा जाता है","Hindi","High","Domestic Violence","I have been kept locked at home since marriage"
"నన్ను ఇంట్లో అడ్డుపెట్టారు","Telugu","High","Domestic Violence","I have been confined at home"
"I was stalked while coming home from work","English","High","Stalking","I was stalked while coming home from work"
"My husband does not allow me to go out or meet anyone","English","High","Domestic Abuse","My husband does not allow me to go out or meet anyone"
"I was fired after reporting harassment to HR","English","High","Workplace Retaliation","I was fired after reporting harassment to HR"
"Someone is following me everywhere I go","English","High","Stalking","Someone is following me everywhere I go"
"My account was hacked and private photos were leaked","English","Critical","Cybercrime","My account was hacked and private photos were leaked"
"I am being forced to abort my child","English","Critical","Forced Abortion","I am being forced to abort my child"
"My husband threatens to take away my children","English","High","Child Custody Threat","My husband threatens to take away my children"
"I was discriminated against for being pregnant","English","Medium","Workplace Discrimination","I was discriminated against for being pregnant"
"No action is being taken on my previous complaint","English","Medium","Police Inaction","No action is being taken on my previous complaint"
"I feel unsafe in my own home","English","High","Domestic Fear","I feel unsafe in my own home"
"என் கணவன் என்னை வெளியே போக அனுமதிப்பதில்லை","Tamil","High","Domestic Abuse","My husband does not allow me to go out"
"வேலையில் பாலியல் துன்புறுத்தல் புகாரில் நடவடிக்கை எடுக்கவில்லை","Tamil","Medium","Workplace Inaction","No action was taken on my sexual harassment complaint at work"
"என்னை தனிமையில் தொடர்ந்து பின்தொடர்கிறார்கள்","Tamil","High","Stalking","They keep following me when I am alone"
"என் கணக்கு ஹேக் செய்யப்பட்டு படங்கள் கசிந்தன","Tamil","Critical","Cybercrime","My account was hacked and photos were leaked"
"मुझे काम पर जाने से रोका जा रहा है","Hindi","High","Domestic Abuse","I am being stopped from going to work"
"मेरी शिकायत पर कोई कार्रवाई नहीं हो रही","Hindi","Medium","Police Inaction","No action is being taken on my complaint"
"मुझे हर जगह कोई पीछा कर रहा है","Hindi","High","Stalking","Someone is following me everywhere"
"मेरा अकाउंट हैक हुआ और निजी फ़ोटो लीक हुईं","Hindi","Critical","Cybercrime","My account was hacked and private photos were leaked"
"నన్ను పని చేయడం మానిపించారు","Telugu","High","Domestic Abuse","They made me stop working"
"నా ఫిర్యాదుపై ఎటువంటి చర్య తీసుకోలేదు","Telugu","Medium","Police Inaction","No action was taken on my complaint"
"నన్ను ప్రతిచోటా ఎవరో వెంబడిస్తున్నారు","Telugu","High","Stalking","Someone is following me everywhere"
"నా ప్రైవేట్ ఫోటోలు లీక్ అయ్యాయి","Telugu","Critical","Cybercrime","My private photos have been leaked"
